,Sector,Lat,Long
0,Sector 1,28.36010195,76.94837540101429
1,Sector 2,28.5090499,77.0342831
2,Sector 3,28.362766399999998,76.91932614213891
3,Sector 4,28.3697157,76.91216082090646
4,Sector 5,28.36735375,76.92672383559201
5,Sector 6,28.3759219,76.92454854516166
6,Sector 7,28.37602775,76.91221522459477
7,Sector 8,28.376183249999997,76.8917950874966
8,Sector 9,28.38409855,76.88613371114232
9,Sector 10,28.39137685,76.88638484800795
10,Sector 11,28.3781429,76.87537746132031
11,Sector 12,28.39864245,76.88801087422203
12,Sector 13,28.4745997,77.036719
13,Sector 14,28.3833517,76.90156540750243
14,Sector 15,28.38431985,76.91223255583242
15,Sector 16,28.46761345,77.05108048234584
16,Sector 17,28.4758035,77.0607773
17,Sector 18,28.4913452,77.0710259
18,Sector 19,28.5030913,77.0817477
19,Sector 20,28.508496100000002,77.08793939044799
20,Sector 21,28.5143629,77.0730087
21,Sector 22,28.506318,77.0655182
22,Sector 23,28.510319,77.0530094
23,Sector 24,28.4944811,77.1013038
24,Sector 25,28.4860888,77.084224
25,Sector 26,28.4779313,77.1032213
26,Sector 27,28.4646566,77.0839505
27,Sector 28,28.4741302,77.0825722
28,Sector 29,28.4669197,77.0671306
29,Sector 30,28.4611585,77.05623631207712
30,Sector 31,28.4540044,77.0497179
31,Sector 32,28.4458035,77.0413169
32,Sector 33,28.4384785,77.0251655
33,Sector 34,28.4280033,77.0115678
34,Sector 35,28.4145669,77.0018689
35,Sector 36,28.419334,76.9889256
36,Sector 37,28.4342681,76.999294
37,Sector 38,28.4351423,77.0403538
38,Sector 39,28.4423675,77.0504724
39,Sector 40,28.4500427,77.0577093
40,Sector 41,28.4569188,77.0646046
41,Sector 42,28.4558973,77.1084759
42,Sector 43,28.4548735,77.0858864
43,Sector 44,28.4507064,77.0738281
44,Sector 45,28.4449004,77.0663545
45,Sector 46,28.4359133,77.0584045
46,Sector 47,28.4251572,77.0475128
47,Sector 48,28.4104903,77.0394627
48,Sector 49,28.4128851,77.0498362
49,Sector 50,28.4166536,77.0611745
50,Sector 51,28.4287011,77.0666877
51,Sector 52,28.4368166,77.0795276
52,Sector 53,28.4415191,77.096805
53,Sector 54,28.44161105,77.1118717823344
54,Sector 55,28.4274166,77.1097538
55,Sector 56,28.4253232,77.0985157
56,Sector 57,28.4232478,77.0804487
57,Sector 58,28.4160012,77.1085564
58,Sector 59,28.4030162,77.1066682
59,Sector 60,28.3985617,77.0978276
60,Sector 61,28.4110188,77.0963685
61,Sector 62,28.40793935,77.08426001762426
62,Sector 63,28.3964476,77.086498
63,Sector 64,28.3898758,77.07612086196684
64,Sector 65,28.404235399999997,77.06925647939286
65,Sector 66,28.3974292,77.0538823
66,Sector 67,28.386583100000003,77.06120283516661
67,Sector 68,28.388897,77.0459859
68,Sector 69,28.3960701,77.0372311
69,Sector 70,28.3947261,77.0223138
70,Sector 71,28.4064564,77.0233125
71,Sector 72,28.4159257,77.0290772
72,Sector 73,28.4088081,77.0161691
73,Sector 74,28.41127625,77.01066904675433
74,Sector 75,28.3964476,77.0065896
75,Sector 76,28.3910112,76.9900243
76,Sector 77,28.3832337,76.982557
77,Sector 78,28.3725283,76.9702955
78,Sector 79,28.362766399999998,76.91932614213891
79,Sector 80,28.3702173,76.9611159
80,Sector 81,28.3873647,76.9475835
81,Sector 82,28.3931076,76.9588762
82,Sector 83,28.3981087,76.9732873
83,Sector 84,28.4082289,76.9630245
84,Sector 85,28.403652,76.9531428
85,Sector 86,28.3981205,76.9411257
86,Sector 87,28.3922194,76.9291703
87,Sector 88,28.4219647,76.9568078
88,Sector 89,28.4184455,76.9457567
89,Sector 90,28.4069974,76.9365562
90,Sector 91,28.4007588,76.9210802
91,Sector 92,28.4089049,76.9155232
92,Sector 93,28.4156237,76.9313161
93,Sector 94,28.4219647,76.9297711
94,Sector 95,28.4149443,76.9114892
95,Sector 96,28.3960701,77.0372311
96,Sector 97,28.4092824,76.8805901
97,Sector 98,28.3781429,76.87537746132031
98,Sector 99,28.4645549,76.9628585
99,Sector 100,28.4613898,76.9712708
100,Sector 101,28.4684077,76.9803787
101,Sector 102,28.4754872,76.9711747
102,Sector 103,28.493087,76.9866453
103,Sector 104,28.4795324,76.9937197
104,Sector 105,28.4943133,77.0081378
105,Sector 106,28.5060806,76.9967796
106,Sector 107,28.506941,76.9752137
107,Sector 108,28.5128994,76.9823615
108,Sector 109,28.5109205,77.0065956
109,Sector 110,28.5069625,77.018321
110,Sector 111,28.5222773,77.0336203
111,Sector 112,28.5203402,77.0188612
112,Sector 113,28.5286649,77.0250282
113,Sector 114,28.5318804,77.0117786932588
114,Sector 115,28.535643399999998,77.00694387452756
